x,y,z,r,g,b
53.957,71.8543,1.2111,0.8,0.8,0.8
48.5331,74.7043,-0.8977,0.8,0.8,0.8
54.9335,72.139,2.1225,0.8,0.8,0.8
51.896,82.3456,-0.8132,0.8,0.8,0.8
50.4796,73.1686,8.7226,0.8,0.8,0.8
51.5974,77.8909,3.1328,0.8,0.8,0.8
51.1838,71.6755,-0.6694,0.8,0.8,0.8
46.2001,72.3376,4.5417,0.8,0.8,0.8
49.5883,73.0386,-1.3018,0.8,0.8,0.8
45.4232,73.2483,5.7844,0.8,0.8,0.8
59.3499,75.032,2.8476,0.8,0.8,0.8
59.5614,74.69,4.074,0.8,0.8,0.8
55.5525,82.5473,2.7295,0.8,0.8,0.8
49.5019,77.1859,8.7332,0.8,0.8,0.8
52.7763,84.0352,-1.2804,0.8,0.8,0.8
51.4436,76.9147,8.5724,0.8,0.8,0.8
52.3748,78.1201,-0.7685,0.8,0.8,0.8
56.0792,78.6307,3.9294,0.8,0.8,0.8
56.451,72.3899,0.7806,0.8,0.8,0.8
56.5705,78.3013,4.219,0.8,0.8,0.8
56.3048,72.7,0.7613,0.8,0.8,0.8
59.4818,74.9583,4.0545,0.8,0.8,0.8
49.9602,70.7414,5.6398,0.8,0.8,0.8
46.4493,71.5841,-1.2923,0.8,0.8,0.8
51.5847,83.3631,2.9414,0.8,0.8,0.8
51.3709,76.3194,1.485,0.8,0.8,0.8
56.1428,73.4198,-1.3144,0.8,0.8,0.8
45.1864,75.469,-0.1636,0.8,0.8,0.8
58.4857,73.9173,4.1259,0.8,0.8,0.8
46.4107,72.0043,1.6054,0.8,0.8,0.8
55.059,80.1004,-0.8424,0.8,0.8,0.8
51.5442,71.2874,4.508,0.8,0.8,0.8
53.4348,76.3638,4.1381,0.8,0.8,0.8
59.495,74.5866,2.1091,0.8,0.8,0.8
50.7683,74.5865,1.3599,0.8,0.8,0.8
49.1478,71.3069,8.7198,0.8,0.8,0.8
48.8766,75.4234,4.5114,0.8,0.8,0.8
49.1529,76.5237,0.9838,0.8,0.8,0.8
52.8841,71.1378,8.1326,0.8,0.8,0.8
59.1516,75.0298,4.1217,0.8,0.8,0.8
56.0666,72.6994,4.6313,0.8,0.8,0.8
52.8551,80.1691,0.5486,0.8,0.8,0.8
51.0304,74.288,4.4469,0.8,0.8,0.8
50.6428,73.7543,8.7239,0.8,0.8,0.8
52.7998,74.4249,5.8925,0.8,0.8,0.8
57.6569,74.2565,-1.3037,0.8,0.8,0.8
47.5276,69.9935,2.0708,0.8,0.8,0.8
58.5684,77.9975,1.1166,0.8,0.8,0.8
52.82,71.7143,8.3442,0.8,0.8,0.8
52.94,76.4535,4.1454,0.8,0.8,0.8
49.088,76.4402,8.7306,0.8,0.8,0.8
45.2011,75.4538,2.6905,0.8,0.8,0.8
53.4244,73.5868,6.5718,0.8,0.8,0.8
51.909,89.0227,1.8579,0.8,0.8,0.8
51.7894,72.5999,-1.3012,0.8,0.8,0.8
48.0935,73.8647,-1.2953,0.8,0.8,0.8
50.2748,88.5297,0.6847,0.8,0.8,0.8
58.3686,73.2223,2.4139,0.8,0.8,0.8
52.2119,72.5263,-0.7567,0.8,0.8,0.8
59.3883,74.8606,0.7889,0.8,0.8,0.8
48.2813,76.5306,-1.156,0.8,0.8,0.8
48.1169,73.5916,-1.2942,0.8,0.8,0.8
49.9911,76.0834,1.34,0.8,0.8,0.8
51.3977,77.5206,-1.304,0.8,0.8,0.8
54.9505,72.2495,6.2659,0.8,0.8,0.8
46.8653,76.4647,1.7882,0.8,0.8,0.8
58.8183,76.8186,0.3553,0.8,0.8,0.8
46.4476,71.0156,-0.6889,0.8,0.8,0.8
59.325,75.4066,3.9586,0.8,0.8,0.8
54.3066,77.6766,3.9663,0.8,0.8,0.8
52.5037,85.8806,-1.288,0.8,0.8,0.8
48.0268,76.8791,8.7324,0.8,0.8,0.8
59.0672,75.9847,1.409,0.8,0.8,0.8
49.0097,70.4549,5.6847,0.8,0.8,0.8
58.4166,74.967,-1.3008,0.8,0.8,0.8
46.9304,75.5823,3.2921,0.8,0.8,0.8
46.2972,72.0288,5.9096,0.8,0.8,0.8
47.6457,73.3259,8.2103,0.8,0.8,0.8
49.9408,70.2386,8.1709,0.8,0.8,0.8
51.7263,77.9503,4.9621,0.8,0.8,0.8
48.6045,76.2234,8.728,0.8,0.8,0.8
47.2265,72.6943,8.724,0.8,0.8,0.8
54.4068,72.1998,8.4603,0.8,0.8,0.8
58.0629,77.0428,4.1808,0.8,0.8,0.8
55.2456,74.0143,-0.3018,0.8,0.8,0.8
48.5601,70.3281,0.2851,0.8,0.8,0.8
56.1539,80.2243,3.7977,0.8,0.8,0.8
57.3638,81.3722,3.7256,0.8,0.8,0.8
51.7442,71.3885,0.7141,0.8,0.8,0.8
55.1598,72.5086,8.6367,0.8,0.8,0.8
53.0845,77.6164,-0.8633,0.8,0.8,0.8
57.5978,81.1938,3.2849,0.8,0.8,0.8
46.2967,71.4914,-1.1142,0.8,0.8,0.8
52.7057,73.7317,-1.3064,0.8,0.8,0.8
46.6254,71.0069,7.5525,0.8,0.8,0.8
52.7389,74.8038,-0.4214,0.8,0.8,0.8
51.0977,70.9992,0.9314,0.8,0.8,0.8
50.4551,70.3558,2.2623,0.8,0.8,0.8
46.3593,71.8273,5.3211,0.8,0.8,0.8
49.2135,75.5049,1.4269,0.8,0.8,0.8
48.6191,75.3608,4.0519,0.8,0.8,0.8
46.067,73.6901,4.8923,0.8,0.8,0.8
50.9533,87.0692,3.0259,0.8,0.8,0.8
51.086,74.0928,8.7256,0.8,0.8,0.8
47.904,76.3657,8.7297,0.8,0.8,0.8
47.1226,69.9915,6.7969,0.8,0.8,0.8
58.122,79.4993,2.995,0.8,0.8,0.8
45.2629,75.2185,1.3519,0.8,0.8,0.8
48.6972,75.1854,-0.7897,0.8,0.8,0.8
46.735,70.8046,1.2646,0.8,0.8,0.8
50.3535,88.5497,1.8079,0.8,0.8,0.8
57.1373,72.6551,0.8024,0.8,0.8,0.8
