x,y,z,r,g,b
6259.46,2829.26,-27.4353,0.8,0.8,0.8
1544.83,2344.94,247.528,0.8,0.8,0.8
5526.3,6524.08,1441.83,0.8,0.8,0.8
901.669,5760.21,-7.41577,0.8,0.8,0.8
3500.69,6492.88,-32.5317,0.8,0.8,0.8
2340.53,3755.07,825.745,0.8,0.8,0.8
3183.09,2460.84,26.5503,0.8,0.8,0.8
5641.7,6334.32,1688.08,0.8,0.8,0.8
3029.02,4280.74,659.698,0.8,0.8,0.8
5823.14,2737.1,-61.4014,0.8,0.8,0.8
5737.38,498.605,-106.476,0.8,0.8,0.8
1380.84,5972.7,-57.6477,0.8,0.8,0.8
2869.92,3759.01,1516.82,0.8,0.8,0.8
3646.67,3496.84,194.275,0.8,0.8,0.8
5735.86,1702.19,21.637,0.8,0.8,0.8
3863.23,3959.75,860.107,0.8,0.8,0.8
5556.36,1221.88,158.875,0.8,0.8,0.8
6986.56,3055.8,-63.8733,0.8,0.8,0.8
1133.2,2267.57,1266.85,0.8,0.8,0.8
1185.95,7292.41,-47.6379,0.8,0.8,0.8
346.021,1766.08,57.5867,0.8,0.8,0.8
361.338,1049.07,-35.553,0.8,0.8,0.8
3812.04,129.743,-117.249,0.8,0.8,0.8
6959.37,671.621,1021.06,0.8,0.8,0.8
1737.34,2634.2,270.569,0.8,0.8,0.8
5446.78,2722.84,-26.3977,0.8,0.8,0.8
6333.02,4978.28,-7.23267,0.8,0.8,0.8
3459.6,6630.59,-48.8586,0.8,0.8,0.8
5190.43,6217.05,1106.23,0.8,0.8,0.8
1987.56,5121.75,36.5906,0.8,0.8,0.8
5389.07,7430.79,-65.033,0.8,0.8,0.8
6713.78,523.379,414.52,0.8,0.8,0.8
6184.13,462.475,-72.2351,0.8,0.8,0.8
6922.63,2141.33,-61.7676,0.8,0.8,0.8
4589.76,6439.52,23.3154,0.8,0.8,0.8
2853.96,304.325,-80.6885,0.8,0.8,0.8
2805.41,7623.72,-58.0139,0.8,0.8,0.8
3413.47,7518.63,-72.7844,0.8,0.8,0.8
6480.53,5638.84,-6.56128,0.8,0.8,0.8
5196.92,5734.33,221.039,0.8,0.8,0.8
6356.93,5748.51,4.88281,0.8,0.8,0.8
3492.51,984.185,19.4092,0.8,0.8,0.8
4820.83,7598.14,-74.4324,0.8,0.8,0.8
4409.94,160.865,-106.72,0.8,0.8,0.8
612.593,1182.71,-33.9355,0.8,0.8,0.8
1177.69,2833.28,1020.45,0.8,0.8,0.8
1162.19,6079.35,-46.5698,0.8,0.8,0.8
6722.14,769.03,474.579,0.8,0.8,0.8
6081.27,2940.82,-58.3191,0.8,0.8,0.8
1186.29,6714.3,-88.623,0.8,0.8,0.8
2519.56,3079.09,48.4314,0.8,0.8,0.8
5861.3,2279.12,-84.259,0.8,0.8,0.8
1077.05,5180.38,-38.9404,0.8,0.8,0.8
1242.71,3823.12,-7.1106,0.8,0.8,0.8
1541.91,4537.79,33.9966,0.8,0.8,0.8
1112.48,2227.67,895.02,0.8,0.8,0.8
5608.71,7403.6,-26.4282,0.8,0.8,0.8
1822.97,2117.06,-18.3411,0.8,0.8,0.8
1862.81,4513.05,22.3999,0.8,0.8,0.8
779.591,4509.65,-26.0925,0.8,0.8,0.8
4775.01,2200.77,-6.04248,0.8,0.8,0.8
6828.81,1119.55,-116.15,0.8,0.8,0.8
4214.42,6634.4,-46.7224,0.8,0.8,0.8
4331.91,4550.57,59.2041,0.8,0.8,0.8
4700.28,3557.53,14.2517,0.8,0.8,0.8
5664.34,2836.85,-59.2041,0.8,0.8,0.8
3315.91,4231.56,1246,0.8,0.8,0.8
2404.52,3711.31,839.386,0.8,0.8,0.8
6851.97,1674.88,-107.758,0.8,0.8,0.8
3386.23,6714.52,-51.8494,0.8,0.8,0.8
4735.86,6854.76,-18.7073,0.8,0.8,0.8
4588.04,5764.54,422.76,0.8,0.8,0.8
1377.08,1317.69,-8.45337,0.8,0.8,0.8
4885.07,6382.29,249.023,0.8,0.8,0.8
674.634,929.319,-11.6272,0.8,0.8,0.8
751.99,2488.03,24.353,0.8,0.8,0.8
1603.85,6465.17,-79.5898,0.8,0.8,0.8
246.516,2618.31,-38.6353,0.8,0.8,0.8
3463.38,5259.49,72.937,0.8,0.8,0.8
2829.98,904.815,54.5654,0.8,0.8,0.8
3504.83,4283.65,854.797,0.8,0.8,0.8
3170.28,4123.81,1199.31,0.8,0.8,0.8
1615.94,3986.58,34.5459,0.8,0.8,0.8
2071.43,4099.22,49.8047,0.8,0.8,0.8
502.714,1424.83,-91.9189,0.8,0.8,0.8
5685.42,4592.27,-29.2358,0.8,0.8,0.8
6943.88,6907.29,-89.5996,0.8,0.8,0.8
6686.54,6992.21,-65.4602,0.8,0.8,0.8
5193.44,6184.35,976.715,0.8,0.8,0.8
5670.55,2116.68,139.526,0.8,0.8,0.8
4202.07,4152.71,877.777,0.8,0.8,0.8
5273.07,5751.69,42.6941,0.8,0.8,0.8
669.545,1784.22,-42.1753,0.8,0.8,0.8
5501.13,4074.39,-8.75854,0.8,0.8,0.8
337.135,460.759,50.1709,0.8,0.8,0.8
2710.5,2060.93,66.7114,0.8,0.8,0.8
2273.53,6866.14,-66.04,0.8,0.8,0.8
1070.82,684.47,4.36401,0.8,0.8,0.8
6088.58,2917.41,-58.1055,0.8,0.8,0.8
2955.8,4783.83,-7.20215,0.8,0.8,0.8
4888.19,4825.12,26.0925,0.8,0.8,0.8
6515.67,4239.55,49.6521,0.8,0.8,0.8
1038.25,4519.63,-4.18091,0.8,0.8,0.8
1336.44,3191.48,-9.46045,0.8,0.8,0.8
5554.21,6082.64,1115.63,0.8,0.8,0.8
4313.05,3643.9,21.8811,0.8,0.8,0.8
6496.7,4784.92,91.7358,0.8,0.8,0.8
2744.16,7405.73,-65.5212,0.8,0.8,0.8
1221.58,690.026,-10.498,0.8,0.8,0.8
6547.38,153.084,-129.181,0.8,0.8,0.8
6805.68,658.659,1669.8,0.8,0.8,0.8
2465.42,4137.98,57.6172,0.8,0.8,0.8
5613.52,7236.36,-35.0342,0.8,0.8,0.8
4963.3,708.513,-42.8772,0.8,0.8,0.8
2188.89,6796.43,-66.1621,0.8,0.8,0.8
3527.31,2026.5,63.0188,0.8,0.8,0.8
2349.4,5562.66,-3.44849,0.8,0.8,0.8
3318.08,4530.16,21.7896,0.8,0.8,0.8
4622.78,4375.94,311.066,0.8,0.8,0.8
6500.77,240.373,-108.246,0.8,0.8,0.8
5372.55,6013.05,942.261,0.8,0.8,0.8
7485.37,761.202,-118.347,0.8,0.8,0.8
6381.91,5863.95,-8.39233,0.8,0.8,0.8
3950.89,1622.47,61.0657,0.8,0.8,0.8
1827.94,1645.99,-19.7754,0.8,0.8,0.8
3807.23,5945.17,-33.1116,0.8,0.8,0.8
4038.28,5528.21,78.6438,0.8,0.8,0.8
5002.07,6146.54,661.438,0.8,0.8,0.8
6760.59,791.464,436.279,0.8,0.8,0.8
5425.66,5728.18,20.0195,0.8,0.8,0.8
1269.35,7540.71,-50.9338,0.8,0.8,0.8
4290.63,7377.35,-74.6765,0.8,0.8,0.8
4183.09,6663.98,-54.7791,0.8,0.8,0.8
2683.08,4774.35,-7.14111,0.8,0.8,0.8
555.782,5311.88,17.0593,0.8,0.8,0.8
5984,4602.8,-29.9683,0.8,0.8,0.8
6523.37,7323.82,-79.5288,0.8,0.8,0.8
3342.83,4240.3,1270.51,0.8,0.8,0.8
5406.35,6026.68,1078.43,0.8,0.8,0.8
3436.07,3560.35,444.489,0.8,0.8,0.8
6497.99,2035.32,-61.1572,0.8,0.8,0.8
3109.42,998.065,50.3845,0.8,0.8,0.8
2818.09,3472.83,653.351,0.8,0.8,0.8
5144.18,913.331,10.0098,0.8,0.8,0.8
3758.82,5750.72,565.216,0.8,0.8,0.8
1788.78,5721.14,-34.8511,0.8,0.8,0.8
3701.96,3529.32,454.376,0.8,0.8,0.8
4634.95,2615.69,4.82178,0.8,0.8,0.8
1510.16,3392.79,301.788,0.8,0.8,0.8
5444.58,2061.46,116.791,0.8,0.8,0.8
635.352,5011.25,-23.1323,0.8,0.8,0.8
1022.28,2252.23,745.544,0.8,0.8,0.8
5369.21,4068.99,-31.6467,0.8,0.8,0.8
1492.1,46.5901,-5.76782,0.8,0.8,0.8
85.3963,6174.34,-20.2637,0.8,0.8,0.8
5083.61,1148.08,21.698,0.8,0.8,0.8
1464.36,3344.03,7.6294,0.8,0.8,0.8
1023.45,2633.59,783.508,0.8,0.8,0.8
773.219,7160.54,-41.687,0.8,0.8,0.8
6086.61,3794.63,-34.3323,0.8,0.8,0.8
5825.51,6411.04,936.89,0.8,0.8,0.8
4415.3,3636.29,450.256,0.8,0.8,0.8
911.941,418.298,16.3269,0.8,0.8,0.8
2245.42,5694.2,-7.14111,0.8,0.8,0.8
2814.85,3507.71,715.454,0.8,0.8,0.8
6761.53,776.687,79.5593,0.8,0.8,0.8
7107.12,496.052,-58.4106,0.8,0.8,0.8
5462.95,4841.34,-2.86865,0.8,0.8,0.8
3336.13,4625.99,27.3132,0.8,0.8,0.8
2404.8,2472,35.6445,0.8,0.8,0.8
6714.61,691.045,585.51,0.8,0.8,0.8
5944.89,6384.51,1463.1,0.8,0.8,0.8
1836.69,5007.31,31.9519,0.8,0.8,0.8
708.651,2446.06,340.454,0.8,0.8,0.8
2382.6,3849.84,844.482,0.8,0.8,0.8
2459.28,6908.49,-29.541,0.8,0.8,0.8
2724.95,3528.19,1271.94,0.8,0.8,0.8
2328.4,4028.6,496.094,0.8,0.8,0.8
2237.6,5142.58,127.686,0.8,0.8,0.8
6098.3,4555.79,-30.1819,0.8,0.8,0.8
5425.15,6006.72,1160.55,0.8,0.8,0.8
5942.26,5654.7,-3.72315,0.8,0.8,0.8
7131,4622.62,-45.5627,0.8,0.8,0.8
6737.35,7520.95,-33.6609,0.8,0.8,0.8
3465.27,3813.61,1508.7,0.8,0.8,0.8
2595.71,2004.54,189.27,0.8,0.8,0.8
5030.76,5877.49,842.072,0.8,0.8,0.8
934.007,1858.47,-59.3567,0.8,0.8,0.8
6987.73,768.825,161.194,0.8,0.8,0.8
6327.23,4808.98,22.0947,0.8,0.8,0.8
2762.31,3907.11,1386.9,0.8,0.8,0.8
3205.02,1715.75,37.8418,0.8,0.8,0.8
2514.74,1894.51,197.968,0.8,0.8,0.8
977.935,1934.1,53.7109,0.8,0.8,0.8
7139.01,2011.88,-68.9697,0.8,0.8,0.8
3066.66,2289.79,10.9253,0.8,0.8,0.8
6399.96,615.684,-88.4399,0.8,0.8,0.8
4889.68,6192.44,526.184,0.8,0.8,0.8
2466.48,1578.3,80.3833,0.8,0.8,0.8
5459.81,7099.01,-45.4407,0.8,0.8,0.8
5818.04,5512,2.28882,0.8,0.8,0.8
5409.99,1511.41,25.177,0.8,0.8,0.8
498.957,2068.87,-0.091553,0.8,0.8,0.8
3202.58,1262.07,62.1338,0.8,0.8,0.8
5663.24,7126.47,-28.1067,0.8,0.8,0.8
5270.65,684.138,-90.332,0.8,0.8,0.8
3898.4,3890.77,750.732,0.8,0.8,0.8
6867.22,708.804,885.04,0.8,0.8,0.8
3521.48,3510.49,127.228,0.8,0.8,0.8
3359.14,2898.5,34.0271,0.8,0.8,0.8
908.373,6489.55,-62.0117,0.8,0.8,0.8
2105.11,7032.38,-22.3389,0.8,0.8,0.8
1075.84,2218.56,724.884,0.8,0.8,0.8
1270.12,7015.77,-72.998,0.8,0.8,0.8
939.428,7161.76,-59.8755,0.8,0.8,0.8
7145.76,543.633,1160.71,0.8,0.8,0.8
4982.6,632.68,-94.8792,0.8,0.8,0.8
6701.26,4339.48,-26.062,0.8,0.8,0.8
4129.3,3738.59,473.663,0.8,0.8,0.8
3274.46,4649.77,24.0479,0.8,0.8,0.8
4238.31,2232.27,1.58691,0.8,0.8,0.8
6299.91,3215.94,-44.3115,0.8,0.8,0.8
4542.14,1614.58,51.8494,0.8,0.8,0.8
2168.05,1617.26,-15.3503,0.8,0.8,0.8
3205.68,4400.05,189.606,0.8,0.8,0.8
2885.74,3902.99,1460.39,0.8,0.8,0.8
808.005,2554.14,-0.488281,0.8,0.8,0.8
3200.73,3518.22,641.51,0.8,0.8,0.8
2706.16,1831.08,71.991,0.8,0.8,0.8
54.3752,3920.13,3.26538,0.8,0.8,0.8
1712.86,2668.72,855.896,0.8,0.8,0.8
7046.88,684.732,2270.14,0.8,0.8,0.8
6822.22,632.701,1937.07,0.8,0.8,0.8
3943.28,4023.1,853.79,0.8,0.8,0.8
7005.52,775.935,330.292,0.8,0.8,0.8
6551.12,4233.13,40.6799,0.8,0.8,0.8
122.916,6330.3,-25.6042,0.8,0.8,0.8
1505.67,6244.68,-77.0874,0.8,0.8,0.8
4033.44,4154.92,908.203,0.8,0.8,0.8
7151.21,537.721,1049.93,0.8,0.8,0.8
6907.23,4071.42,-28.656,0.8,0.8,0.8
5025.15,3356.93,5.06592,0.8,0.8,0.8
5004.16,7568.35,-88.6536,0.8,0.8,0.8
2986.66,4243.41,798.431,0.8,0.8,0.8
2378.39,3064.4,133.759,0.8,0.8,0.8
5315.18,6743.29,-59.1431,0.8,0.8,0.8
1380.39,2033.51,216.003,0.8,0.8,0.8
1244.57,2215.02,813.965,0.8,0.8,0.8
1364.07,2925.78,1188.42,0.8,0.8,0.8
7054.18,2631.26,-71.8689,0.8,0.8,0.8
7218.15,575.912,-139.74,0.8,0.8,0.8
4687.29,1235.14,35.7056,0.8,0.8,0.8
6606.33,2611.95,-41.9617,0.8,0.8,0.8
3413.13,1485.99,69.2749,0.8,0.8,0.8
1457.27,3380.55,-6.43921,0.8,0.8,0.8
3170.96,3356.71,447.052,0.8,0.8,0.8
7124.02,5529.68,-50.0793,0.8,0.8,0.8
3640.63,3674.08,469.971,0.8,0.8,0.8
7045.76,5945.15,-41.4734,0.8,0.8,0.8
6636.92,-2.26075,-129.12,0.8,0.8,0.8
3980.51,5881.33,737.396,0.8,0.8,0.8
3424.28,7402.5,-88.5315,0.8,0.8,0.8
5617.3,4436.61,-14.0076,0.8,0.8,0.8
5938.83,6344.23,1203.25,0.8,0.8,0.8
6881.94,113.818,-138.062,0.8,0.8,0.8
723.111,6247.65,-7.38525,0.8,0.8,0.8
6500.03,3611.42,-26.4282,0.8,0.8,0.8
1547.32,7545.23,-49.6521,0.8,0.8,0.8
1131.17,2522.4,1135.22,0.8,0.8,0.8
3923.58,2244.72,13.6414,0.8,0.8,0.8
3385.61,3785.4,1299.9,0.8,0.8,0.8
257.692,2839.39,-43.457,0.8,0.8,0.8
1115.06,2632.32,880.493,0.8,0.8,0.8
4754.05,5355.8,17.0593,0.8,0.8,0.8
4972.95,2174.57,-27.0081,0.8,0.8,0.8
