x,y,z,r,g,b
315322.062500,4834378.000000,101.560562,0.8,0.8,0.8
315296.718750,4834397.500000,82.388306,0.8,0.8,0.8
315344.718750,4834356.000000,82.809402,0.8,0.8,0.8
315269.093750,4834323.500000,92.039665,0.8,0.8,0.8
315326.125000,4834337.000000,88.133553,0.8,0.8,0.8
315306.500000,4834349.500000,82.336601,0.8,0.8,0.8
315326.875000,4834375.500000,87.048447,0.8,0.8,0.8
315345.718750,4834328.000000,91.639488,0.8,0.8,0.8
315401.781250,4834387.000000,85.481697,0.8,0.8,0.8
315330.906250,4834407.000000,105.158012,0.8,0.8,0.8
315421.312500,4834395.500000,96.828751,0.8,0.8,0.8
315300.718750,4834354.500000,103.534897,0.8,0.8,0.8
315350.031250,4834375.000000,101.035225,0.8,0.8,0.8
315300.500000,4834381.500000,83.323799,0.8,0.8,0.8
315418.062500,4834397.500000,81.654999,0.8,0.8,0.8
315304.000000,4834408.000000,82.667664,0.8,0.8,0.8
315376.875000,4834395.000000,126.714996,0.8,0.8,0.8
315382.218750,4834372.500000,88.362152,0.8,0.8,0.8
315269.687500,4834345.500000,98.072098,0.8,0.8,0.8
315364.656250,4834306.000000,89.024353,0.8,0.8,0.8
315332.500000,4834350.500000,88.169128,0.8,0.8,0.8
315296.812500,4834421.500000,82.906044,0.8,0.8,0.8
315300.718750,4834346.500000,85.941902,0.8,0.8,0.8
315291.250000,4834390.000000,83.405602,0.8,0.8,0.8
315303.531250,4834414.000000,93.835052,0.8,0.8,0.8
315358.812500,4834376.500000,85.980103,0.8,0.8,0.8
315273.875000,4834446.500000,83.973198,0.8,0.8,0.8
315314.562500,4834382.000000,92.939880,0.8,0.8,0.8
315278.250000,4834423.000000,99.819199,0.8,0.8,0.8
315356.937500,4834343.000000,83.632004,0.8,0.8,0.8
315305.562500,4834375.000000,84.641068,0.8,0.8,0.8
315324.281250,4834389.500000,100.155548,0.8,0.8,0.8
315301.312500,4834380.500000,82.858498,0.8,0.8,0.8
315310.312500,4834386.000000,87.377701,0.8,0.8,0.8
315316.500000,4834402.500000,82.643814,0.8,0.8,0.8
315371.718750,4834381.000000,99.105293,0.8,0.8,0.8
315322.625000,4834356.000000,101.312599,0.8,0.8,0.8
315374.093750,4834346.000000,83.537094,0.8,0.8,0.8
315311.718750,4834394.500000,98.815720,0.8,0.8,0.8
315351.343750,4834352.500000,81.948502,0.8,0.8,0.8
315290.906250,4834398.500000,82.458054,0.8,0.8,0.8
315324.375000,4834364.000000,97.873100,0.8,0.8,0.8
315285.687500,4834404.000000,96.141098,0.8,0.8,0.8
315308.625000,4834409.000000,110.859924,0.8,0.8,0.8
315333.312500,4834343.500000,88.238503,0.8,0.8,0.8
315313.718750,4834408.500000,95.707603,0.8,0.8,0.8
315418.093750,4834400.500000,96.677902,0.8,0.8,0.8
315324.843750,4834282.500000,95.205002,0.8,0.8,0.8
315313.312500,4834341.000000,81.545143,0.8,0.8,0.8
315353.781250,4834347.500000,91.336868,0.8,0.8,0.8
315286.343750,4834344.000000,87.541496,0.8,0.8,0.8
315328.156250,4834339.000000,95.445099,0.8,0.8,0.8
315372.500000,4834382.000000,99.109184,0.8,0.8,0.8
315419.718750,4834392.500000,90.440033,0.8,0.8,0.8
315351.125000,4834355.500000,91.824203,0.8,0.8,0.8
315300.218750,4834357.500000,85.664703,0.8,0.8,0.8
315329.687500,4834333.500000,83.266197,0.8,0.8,0.8
315307.281250,4834363.000000,92.953201,0.8,0.8,0.8
315356.125000,4834324.000000,99.237343,0.8,0.8,0.8
315297.500000,4834410.000000,82.492378,0.8,0.8,0.8
